id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
28,37,58,1982,9,1,776 Norfolk Boulevard,34.17,-118.46,21402.0,43638.0,104052.0,627.0,1
29,41,67,1978,11,1,2015 Bayview Avenue,36.15,-85.5,15955.0,32531.0,38260.0,766.0,2
30,37,72,1983,2,0,108 Washington Street,36.28,-86.83,20657.0,42120.0,72801.0,739.0,4
31,18,64,2001,5,1,660 Seventh Drive,39.98,-82.98,28092.0,57281.0,89114.0,850.0,1
32,49,66,1970,9,1,7505 Tenth Boulevard,25.77,-80.2,18828.0,38390.0,87923.0,783.0,4
33,33,69,1986,9,0,4930 Birch Drive,33.92,-78.02,17498.0,35670.0,58182.0,751.0,2
34,21,66,1998,9,0,93 Plum Lane,41.29,-72.36,30281.0,61746.0,154817.0,637.0,2
35,47,65,1972,11,0,837 Lincoln Avenue,30.68,-88.04,21331.0,43496.0,114563.0,765.0,3
36,41,55,1978,8,1,7467 Spruce Drive,38.48,-121.34,25431.0,51854.0,72162.0,737.0,2
37,51,68,1968,4,0,6323 Sussex Boulevard,32.61,-117.03,16942.0,34540.0,22641.0,793.0,5
38,46,62,1973,11,1,8738 Fourth Street,41.97,-88.14,20248.0,41287.0,88151.0,662.0,1
39,46,70,1973,10,1,9344 Mill Drive,36.62,-121.82,18663.0,38054.0,63293.0,666.0,1
40,59,62,1961,2,0,299 11th Street,42.31,-71.64,39418.0,80371.0,108499.0,822.0,1
41,91,68,1929,2,0,5492 Maple Drive,38.9,-94.68,51642.0,84694.0,2149.0,741.0,7
42,79,72,1941,2,1,829 Birch Boulevard,27.8,-97.39,23608.0,37503.0,14272.0,706.0,5
43,57,75,1962,12,1,41011 Seventh Boulevard,33.27,-111.94,32056.0,65357.0,21844.0,685.0,4
44,26,52,1994,1,0,613 Little Creek Lane,26.41,-81.42,10819.0,22066.0,38967.0,842.0,1
45,42,66,1977,11,1,1942 Rose Avenue,29.1,-81.0,21916.0,44681.0,42011.0,770.0,3
46,26,69,1994,2,1,5101 Birch Lane,38.72,-90.47,25163.0,51306.0,68198.0,675.0,1
47,18,59,2002,2,0,7 11th Drive,29.45,-98.5,12677.0,25847.0,46379.0,568.0,1
48,60,64,1959,11,0,2468 Spruce Drive,28.7,-81.34,22896.0,46683.0,93126.0,788.0,5
49,61,66,1958,11,1,8001 Essex Boulevard,43.06,-87.96,15487.0,31579.0,52419.0,771.0,3
50,47,65,1972,10,1,708 George Street,31.22,-84.21,13759.0,28055.0,12475.0,829.0,3
51,42,68,1977,12,0,28 Hillside Boulevard,42.3,-83.48,32078.0,65403.0,80057.0,784.0,4
52,55,73,1964,11,0,446 Birch Drive,36.37,-84.12,13522.0,27572.0,59404.0,797.0,1
53,48,70,1971,12,0,578 Maple Avenue,35.05,-82.09,18899.0,38539.0,0.0,850.0,3
54,41,57,1978,7,0,14 Valley Drive,38.47,-81.81,18666.0,38059.0,68220.0,634.0,2
55,59,68,1960,11,0,2475 Little Creek Boulevard,30.56,-97.86,25872.0,52754.0,38191.0,693.0,5
56,45,59,1975,2,1,9604 Catherine Drive,40.72,-73.86,25109.0,51196.0,67164.0,631.0,4
57,26,70,1993,7,1,349 First Drive,33.78,-84.44,24382.0,49713.0,91776.0,763.0,1
58,21,68,1998,4,0,7914 Essex Boulevard,41.66,-83.58,21660.0,44160.0,134173.0,696.0,3
59,46,59,1973,5,0,524 Ocean Drive,29.76,-95.38,95039.0,193773.0,241571.0,660.0,1
60,41,66,1979,2,0,2079 Maple Drive,40.38,-77.88,14650.0,29864.0,44902.0,717.0,2
61,22,67,1997,7,1,295 Valley Drive,29.45,-98.5,28135.0,57367.0,115418.0,795.0,2
62,63,58,1957,2,0,2883 Ocean View Boulevard,47.32,-121.99,32697.0,56635.0,13015.0,786.0,8
63,44,67,1975,3,1,5125 Elm Drive,41.31,-111.96,23165.0,47227.0,151030.0,760.0,4
64,22,68,1997,10,1,4098 Park Drive,32.75,-97.33,12051.0,24574.0,80667.0,674.0,3
65,29,65,1991,1,0,892 Spruce Street,40.69,-73.75,21283.0,43397.0,42168.0,697.0,2
66,28,72,1991,6,0,9977 Oak Avenue,38.68,-76.17,28497.0,58105.0,70254.0,688.0,3
67,82,67,1937,6,1,79 South Boulevard,29.5,-97.44,15092.0,10869.0,1820.0,820.0,2
68,90,66,1929,6,0,145 River Drive,40.59,-75.47,12427.0,19893.0,1712.0,566.0,3
69,63,65,1956,8,1,7605 Essex Boulevard,40.39,-82.47,18019.0,36743.0,71719.0,612.0,2
70,49,70,1970,7,0,480 Seventh Lane,40.22,-74.76,22747.0,46377.0,79980.0,719.0,3
71,36,69,1983,10,0,5506 Fifth Boulevard,33.88,-118.27,24611.0,50179.0,110515.0,743.0,1
72,30,65,1989,11,1,136 Spruce Street,38.22,-122.55,26748.0,54537.0,121987.0,765.0,4
73,23,66,1996,12,1,306 First Drive,28.68,-81.51,24155.0,49255.0,6557.0,823.0,2
74,42,65,1977,10,1,272 Burns Boulevard,41.77,-87.82,15221.0,31031.0,21853.0,744.0,7
75,65,66,1955,1,1,190 Sixth Drive,32.92,-96.45,34659.0,70673.0,87605.0,714.0,4
76,87,57,1932,10,0,8569 Wessex Boulevard,33.52,-86.79,13263.0,16342.0,1758.0,747.0,5
77,22,65,1997,9,1,385 Lexington Boulevard,32.71,-102.65,15183.0,30961.0,42597.0,677.0,1
78,58,67,1961,3,0,407 Park Lane,32.9,-80.93,14864.0,30305.0,23392.0,776.0,3
79,30,68,1989,3,1,5142 Little Creek Street,35.67,-97.41,33736.0,68784.0,198417.0,696.0,4
80,25,71,1994,8,0,224 Mountain View Boulevard,48.19,-114.38,17040.0,34745.0,26503.0,691.0,4
81,18,67,2001,11,0,4735 Fifth Avenue,30.44,-91.12,31741.0,64715.0,174664.0,740.0,3
82,59,69,1961,2,0,4793 North Street,40.69,-80.01,39464.0,80464.0,76261.0,727.0,3
83,18,67,2002,2,0,72 El Camino Boulevard,40.43,-79.97,24400.0,49748.0,23161.0,748.0,1
84,61,58,1958,11,1,381 Fifth Lane,34.07,-117.62,16113.0,41904.0,12545.0,655.0,4
85,54,70,1965,9,0,393 Mountain View Lane,33.6,-117.82,96516.0,196784.0,437533.0,729.0,3
86,27,66,1992,3,0,293 Wessex Street,42.4,-83.6,49458.0,100837.0,61377.0,687.0,2
87,32,65,1987,6,1,7276 Fourth Drive,42.8,-83.71,25334.0,51654.0,95454.0,600.0,4
88,64,69,1955,6,0,327 Lafayette Boulevard,39.72,-82.59,18680.0,38088.0,51679.0,691.0,2
89,18,69,2001,8,1,2846 Lake Avenue,30.23,-92.81,18082.0,36866.0,0.0,680.0,2
90,52,70,1967,9,1,2093 Ocean Street,37.78,-122.24,18443.0,37607.0,63689.0,749.0,5
91,49,66,1970,10,0,981 Fifth Boulevard,40.26,-103.79,16910.0,34480.0,58795.0,696.0,1
92,43,66,1977,1,1,18 Norfolk Boulevard,43.07,-89.38,23680.0,48279.0,114254.0,719.0,2
93,36,65,1983,7,1,977 Littlewood Avenue,30.17,-85.67,16133.0,32896.0,69800.0,735.0,2
94,18,71,2001,6,1,993 Mountain View Avenue,33.78,-117.33,14667.0,29909.0,42832.0,664.0,2
95,37,64,1982,12,0,896 Rose Street,44.96,-93.26,23278.0,47464.0,83591.0,716.0,1
96,23,64,1996,5,0,2418 Mill Drive,37.3,-122.0,41750.0,85128.0,108678.0,641.0,1
97,54,69,1965,9,1,3683 Fifth Street,35.3,-81.03,22487.0,45852.0,114746.0,615.0,2
98,33,67,1986,7,0,0 Elm Street,33.53,-112.18,13024.0,26556.0,43042.0,840.0,2
99,63,67,1956,11,0,2302 Catherine Lane,26.02,-80.16,19712.0,40194.0,107765.0,738.0,6
100,22,67,1998,2,1,213 Rose Drive,32.85,-96.96,30475.0,62135.0,75209.0,676.0,2
101,48,65,1972,1,1,8975 Littlewood Boulevard,26.63,-81.99,19274.0,39303.0,23650.0,702.0,7
102,63,64,1956,3,0,1389 Park Lane,38.64,-76.9,35114.0,71593.0,132181.0,821.0,3
103,75,67,1944,12,1,2890 Eighth Lane,41.88,-87.84,15451.0,22158.0,19101.0,681.0,5
104,62,66,1957,6,1,20 Littlewood Boulevard,40.66,-73.84,26481.0,53996.0,98211.0,632.0,4
105,28,73,1991,10,0,6413 Second Street,30.44,-87.18,12766.0,26025.0,23971.0,723.0,4
106,25,69,1994,11,0,611 Elm Lane,40.94,-73.86,31299.0,63816.0,100128.0,775.0,1
107,56,73,1964,1,0,889 Martin Luther King Avenue,35.72,-78.84,32485.0,66230.0,90248.0,742.0,3
108,56,56,1963,10,1,336 Rose Avenue,41.83,-87.68,25365.0,36335.0,28929.0,676.0,2
109,59,61,1961,2,0,4254 Plum Lane,33.74,-117.99,19438.0,39633.0,58586.0,777.0,3
110,43,69,1976,8,0,825 Sussex Avenue,41.5,-87.5,28048.0,57185.0,0.0,773.0,3
111,37,69,1982,11,1,185 Forest Drive,33.95,-84.54,40530.0,82637.0,84762.0,739.0,2
112,60,57,1960,1,0,561 Martin Luther King Avenue,42.47,-83.49,34259.0,31121.0,32768.0,619.0,5
113,47,67,1972,11,1,335 Valley Stream Boulevard,29.5,-97.44,15092.0,30774.0,51428.0,700.0,3
114,48,67,1971,12,1,1773 Hill Street,39.4,-88.8,16300.0,33236.0,57549.0,747.0,1
115,35,65,1984,10,1,55 Ocean View Street,35.2,-101.81,18613.0,37947.0,49951.0,683.0,3
116,24,65,1995,11,1,8245 El Camino Lane,37.68,-97.34,21518.0,43875.0,128146.0,639.0,1
117,26,66,1993,5,0,9530 Washington Street,38.1,-122.63,30335.0,61850.0,81158.0,728.0,9
118,28,71,1991,5,1,221 Lexington Avenue,32.08,-81.1,19770.0,40314.0,131348.0,707.0,4
119,26,67,1993,8,1,2484 Norfolk Drive,38.91,-75.43,18622.0,37968.0,55982.0,788.0,3
120,41,67,1978,11,1,133 Grant Lane,43.46,-85.95,17145.0,34954.0,45456.0,772.0,3
121,40,74,1979,9,1,1977 Lake Avenue,34.15,-118.6,47055.0,95945.0,222735.0,772.0,2
122,18,58,2002,2,0,352 George Street,43.07,-82.49,16598.0,33844.0,42109.0,684.0,2
123,66,67,1953,4,1,554 Grant Boulevard,37.69,-97.13,32162.0,65573.0,143069.0,739.0,4
124,40,66,1979,7,1,631 Ocean View Street,43.07,-89.38,23840.0,48609.0,43520.0,737.0,3
125,45,70,1974,5,0,31 Jefferson Boulevard,47.09,-116.46,12618.0,25723.0,34007.0,746.0,3
126,19,72,2000,3,0,973 Federal Avenue,30.62,-87.89,25495.0,51984.0,79152.0,691.0,3
127,34,65,1986,2,1,95266 Bayview Drive,37.83,-122.22,52813.0,107683.0,225017.0,694.0,3
128,24,69,1996,2,0,932 Essex Street,33.83,-117.2,16109.0,32847.0,33514.0,721.0,2
129,57,66,1963,1,1,126 Valley Drive,32.32,-90.2,11061.0,22556.0,43260.0,645.0,4
130,35,54,1984,9,0,239 South Drive,39.51,-76.17,22590.0,46063.0,106528.0,618.0,1
131,19,65,2000,9,0,1134 Valley Drive,41.71,-72.83,46762.0,95348.0,71972.0,706.0,3
132,28,65,1992,1,0,5863 Grant Avenue,38.71,-95.08,22158.0,45180.0,13168.0,698.0,2
133,37,69,1982,4,1,3472 11th Avenue,28.5,-81.37,15137.0,30865.0,55079.0,594.0,1
134,20,69,1999,11,1,5590 Bayview Avenue,43.05,-82.67,20377.0,41543.0,49021.0,732.0,4
135,53,73,1966,9,1,94 Jefferson Drive,32.32,-95.3,14811.0,30198.0,40950.0,693.0,6
136,45,64,1974,12,0,582 Birch Boulevard,26.63,-81.85,19621.0,40006.0,72794.0,621.0,1
137,53,68,1966,5,1,809 Mountain View Boulevard,38.88,-94.81,30232.0,61646.0,0.0,693.0,3
138,39,67,1980,10,0,6339 Fourth Street,39.45,-76.81,33175.0,67643.0,0.0,714.0,6
139,86,71,1933,5,0,81 Hill Avenue,42.38,-83.1,13820.0,22650.0,0.0,690.0,6
140,63,67,1956,10,1,28136 Wessex Street,40.64,-73.94,14856.0,30288.0,42745.0,689.0,4
141,67,65,1952,10,1,8787 Rose Avenue,37.72,-122.44,22549.0,47213.0,1082.0,789.0,5
142,76,66,1943,10,0,96 Ninth Lane,34.95,-96.75,15005.0,28215.0,18116.0,697.0,2
143,32,55,1987,4,1,3249 12th Drive,47.75,-122.04,51751.0,105515.0,192458.0,646.0,4
144,36,68,1983,12,1,9340 Valley Street,27.48,-82.57,13972.0,28489.0,6087.0,808.0,4
145,63,69,1956,9,0,6429 Fifth Avenue,35.19,-80.83,39752.0,81048.0,156195.0,781.0,4
146,19,62,2000,12,0,849 George Avenue,38.77,-76.06,23180.0,47263.0,74853.0,726.0,2
147,19,71,2000,7,1,804 Seventh Boulevard,40.52,-122.32,16585.0,33816.0,77770.0,635.0,1
148,25,69,1994,9,0,76009 Valley Stream Boulevard,42.37,-87.86,15770.0,32160.0,62803.0,634.0,1
149,83,65,1936,8,0,387 Third Boulevard,31.5,-111.06,15462.0,29494.0,1196.0,689.0,5
150,68,63,1951,3,0,6398 Lake Lane,35.92,-86.84,36563.0,70554.0,39078.0,655.0,5
151,63,62,1956,9,1,786 12th Drive,42.13,-87.92,23098.0,33686.0,24997.0,488.0,2
152,92,72,1927,8,0,290 Forest Street,32.28,-110.73,30818.0,57732.0,2261.0,726.0,6
153,21,65,1998,3,1,320 Hillside Lane,35.1,-90.0,10730.0,21879.0,69638.0,762.0,1
154,28,65,1991,5,1,437 Ocean View Drive,40.79,-77.85,25031.0,51041.0,106989.0,686.0,1
155,18,69,2002,1,1,9850 Birch Drive,42.28,-71.16,34519.0,70380.0,106797.0,725.0,2
156,25,64,1994,8,1,55 Third Drive,41.92,-87.81,20902.0,42617.0,67590.0,771.0,5
157,75,65,1944,7,1,177 Mill Boulevard,39.69,-74.25,21861.0,46031.0,8332.0,661.0,5
158,55,66,1964,10,0,886 Little Creek Drive,42.62,-73.83,31927.0,65094.0,23909.0,699.0,3
159,27,65,1993,2,0,327 Seventh Boulevard,38.04,-84.45,18278.0,37268.0,50388.0,626.0,1
160,53,67,1967,2,0,8224 Fourth Drive,41.55,-73.03,19114.0,38972.0,44098.0,738.0,3
161,63,64,1957,2,0,174 Catherine Boulevard,33.91,-118.23,13075.0,26661.0,42667.0,750.0,5
162,48,66,1971,9,1,496 Hill Lane,44.96,-93.26,40364.0,82295.0,1555.0,736.0,4
163,47,68,1972,9,1,23068 Park Street,36.49,-81.5,12630.0,25748.0,41455.0,738.0,3
164,56,65,1963,11,1,27019 Madison Lane,36.34,-83.28,13668.0,27861.0,108313.0,782.0,5
165,18,72,2001,12,1,293 First Boulevard,34.06,-117.17,23820.0,48561.0,0.0,752.0,1
166,66,69,1953,4,0,8929 Essex Drive,39.16,-86.52,19125.0,38999.0,64875.0,747.0,4
167,62,66,1957,4,1,1569 George Boulevard,35.78,-78.11,16239.0,33112.0,56040.0,716.0,2
168,34,66,1985,10,0,326 Elm Lane,35.19,-80.83,49477.0,100880.0,210445.0,770.0,1
169,22,65,1997,11,1,32 Valley Drive,34.21,-119.18,18175.0,37058.0,50548.0,680.0,2
170,24,58,1995,3,1,4132 Norfolk Boulevard,38.95,-76.95,23166.0,47234.0,89154.0,685.0,3
171,45,72,1974,5,0,819 El Camino Boulevard,35.97,-96.76,17237.0,35142.0,107898.0,731.0,4
172,43,65,1976,3,0,742 Lake Street,43.37,-124.14,15069.0,30721.0,49961.0,749.0,3
173,56,67,1963,12,0,607 George Boulevard,34.05,-84.67,28862.0,58846.0,126806.0,746.0,3
174,29,68,1990,6,1,704 Eighth Avenue,42.93,-75.38,19161.0,39069.0,63884.0,720.0,2
175,20,65,2000,2,0,8643 Lafayette Boulevard,33.94,-83.99,24252.0,49449.0,30723.0,728.0,3
176,39,73,1980,3,0,63 Plum Street,36.69,-84.47,10942.0,22312.0,39445.0,720.0,5
177,32,72,1987,4,1,5381 12th Boulevard,36.88,-94.87,17845.0,36388.0,92949.0,710.0,4
178,52,68,1967,8,0,65 Fifth Boulevard,28.24,-81.28,22086.0,45037.0,31792.0,710.0,3
179,47,63,1972,10,0,2614 Eighth Lane,44.35,-89.07,18937.0,38615.0,74337.0,601.0,4
180,40,61,1979,7,1,196 Plum Lane,40.84,-73.87,13845.0,28229.0,55675.0,622.0,5
181,58,67,1961,11,0,444 Maple Avenue,40.05,-86.03,24638.0,50232.0,1218.0,751.0,4
182,59,66,1960,5,1,868 Maple Drive,37.2,-87.17,16847.0,34350.0,61639.0,705.0,3
183,47,69,1972,11,1,6009 River Avenue,34.24,-84.49,25654.0,52308.0,135319.0,679.0,1
184,27,66,1992,8,0,2058 Spruce Street,27.75,-82.64,15724.0,32061.0,58904.0,676.0,1
185,75,69,1945,2,1,6930 East Lane,40.57,-112.33,21749.0,21154.0,5764.0,705.0,6
186,52,72,1967,10,0,31204 El Camino Lane,30.26,-97.74,25594.0,52186.0,42852.0,737.0,4
187,43,70,1976,5,0,967 First Avenue,41.19,-85.7,17294.0,35264.0,70328.0,770.0,2
188,84,71,1935,9,0,136 Hillside Avenue,37.91,-122.01,42234.0,79870.0,4031.0,609.0,2
189,70,59,1949,12,0,669 South Street,41.7,-70.3,26762.0,41902.0,29713.0,633.0,5
190,24,61,1995,8,0,66992 Second Street,36.3,-115.24,31374.0,63969.0,128412.0,626.0,1
191,47,68,1972,7,1,208 Park Avenue,44.53,-72.0,16976.0,34606.0,23909.0,680.0,5
192,32,60,1987,11,1,335 Main Street,33.72,-84.42,13059.0,26631.0,33950.0,805.0,1
193,39,64,1980,11,1,532 12th Drive,27.98,-80.66,17645.0,35978.0,49366.0,643.0,3
194,64,69,1955,10,1,1350 Lake Drive,33.41,-96.57,24402.0,49756.0,89743.0,618.0,4
195,37,71,1982,6,1,691 First Lane,36.17,-86.78,29868.0,60897.0,85771.0,850.0,3
196,58,65,1961,3,0,511 Grant Avenue,34.42,-84.11,20581.0,41963.0,53857.0,741.0,1
197,37,60,1982,7,0,3510 Mountain View Street,44.96,-93.26,22059.0,44976.0,134335.0,684.0,1
198,27,69,1992,9,1,9264 Lake Avenue,32.69,-97.01,22922.0,46733.0,34333.0,692.0,2
199,26,60,1993,4,0,596 Mountain View Lane,41.66,-70.34,23129.0,47160.0,64193.0,578.0,1
200,23,65,1996,7,1,374 East Lane,40.44,-86.91,24737.0,50433.0,97029.0,838.0,3
201,20,63,1999,8,1,51 George Avenue,47.3,-122.37,25363.0,51713.0,86165.0,809.0,1
202,45,65,1974,8,1,3916 Tenth Boulevard,32.75,-97.33,11876.0,24215.0,28552.0,707.0,6
203,49,59,1970,9,1,813 Fifth Boulevard,40.63,-82.96,18293.0,37298.0,52134.0,683.0,1
204,25,67,1994,12,1,8931 Norfolk Drive,33.44,-111.8,19844.0,40457.0,68826.0,739.0,1
205,58,72,1961,6,1,8996 Third Street,42.41,-71.16,40694.0,82974.0,181429.0,503.0,2
206,46,68,1973,7,0,33 Tenth Street,40.84,-73.4,34873.0,71103.0,136853.0,721.0,4
207,43,75,1976,5,0,5528 Lake Lane,40.32,-80.21,14320.0,29194.0,10895.0,703.0,2
208,52,67,1967,10,1,8824 Hillside Avenue,35.32,-82.46,16410.0,33465.0,98713.0,669.0,3
209,20,71,1999,6,0,69 Norfolk Avenue,41.23,-80.81,15361.0,31314.0,40331.0,721.0,4
210,36,68,1983,7,1,57 Pine Boulevard,36.12,-95.91,11633.0,23718.0,1386.0,712.0,2
211,46,66,1973,6,0,9528 Hill Street,39.04,-76.49,35645.0,72670.0,28915.0,718.0,3
212,24,67,1995,4,0,8251 Park Lane,40.11,-83.13,38243.0,77972.0,6128.0,686.0,3
213,38,66,1981,10,0,177 Maple Boulevard,35.44,-94.35,17093.0,34854.0,40722.0,746.0,5
214,25,69,1994,12,0,299 Oak Boulevard,45.19,-123.24,18098.0,36902.0,60538.0,711.0,1
215,28,59,1991,12,0,7087 Plum Street,27.75,-82.64,26476.0,53984.0,76118.0,701.0,1
216,80,69,1939,3,1,614 Spruce Avenue,40.6,-74.76,46827.0,104692.0,6955.0,704.0,2
217,24,66,1995,5,0,625 Washington Lane,47.67,-122.18,49629.0,101191.0,290730.0,659.0,1
218,38,66,1981,10,1,311 Fifth Drive,42.27,-83.73,34119.0,69566.0,50003.0,791.0,4
219,21,71,1998,4,1,966 Sussex Boulevard,41.88,-87.97,24223.0,49382.0,43126.0,762.0,1
220,41,65,1979,1,0,9059 Eighth Avenue,36.01,-82.15,14093.0,28733.0,0.0,702.0,3
221,87,72,1932,8,1,4713 First Boulevard,41.15,-85.48,19914.0,30349.0,2985.0,686.0,4
222,31,68,1988,3,1,4165 Valley Avenue,38.76,-89.97,28710.0,58538.0,93153.0,610.0,1
223,32,66,1987,8,0,38 Catherine Boulevard,27.75,-82.64,18100.0,36901.0,23293.0,695.0,4
224,70,65,1950,1,1,3485 Federal Avenue,39.87,-75.92,24725.0,49531.0,6707.0,737.0,6
225,68,66,1951,8,1,198 Main Boulevard,41.83,-87.68,20649.0,35370.0,14777.0,562.0,1
226,45,62,1975,1,0,891 Fourth Avenue,40.81,-81.93,18962.0,38666.0,116783.0,822.0,1
227,24,70,1995,12,0,8094 Catherine Lane,42.63,-71.32,20458.0,41714.0,54541.0,687.0,3
228,32,66,1987,8,1,41 Plum Boulevard,37.96,-76.51,12018.0,24505.0,52405.0,759.0,1
229,43,65,1977,1,1,2974 Grant Avenue,40.66,-73.7,27778.0,56640.0,104134.0,672.0,4
230,53,67,1966,10,0,456 Lincoln Boulevard,42.76,-78.74,30202.0,61578.0,85383.0,602.0,2
231,53,66,1966,11,0,1959 Forest Street,42.27,-89.06,24589.0,50139.0,109623.0,767.0,3
232,21,68,1998,12,1,74 Hill Avenue,39.12,-97.7,16990.0,34646.0,54205.0,759.0,1
233,22,65,1998,1,1,5274 Martin Luther King Lane,32.75,-97.33,12274.0,25024.0,29227.0,691.0,2
234,41,68,1979,1,0,136 South Street,41.83,-87.68,16114.0,32856.0,26535.0,703.0,3
235,41,66,1978,10,0,560 Summit Street,39.16,-89.48,17696.0,36080.0,80443.0,839.0,3
236,32,68,1987,11,0,593 Washington Drive,32.91,-96.62,14535.0,29637.0,56446.0,569.0,3
237,56,65,1964,2,1,281 Martin Luther King Avenue,35.14,-96.49,14004.0,28553.0,94214.0,747.0,3
238,18,65,2001,9,1,1335 Norfolk Drive,41.56,-70.55,21335.0,43499.0,108468.0,701.0,4
239,35,57,1984,6,0,47428 First Boulevard,41.8,-91.49,29059.0,59248.0,173887.0,725.0,5
240,44,65,1975,6,1,6995 North Drive,39.77,-86.14,32865.0,67008.0,81402.0,778.0,8
241,31,68,1988,10,0,5857 12th Avenue,34.14,-118.46,51976.0,105963.0,106266.0,684.0,4
242,30,66,1989,4,1,4096 Sussex Avenue,32.35,-86.28,27653.0,56383.0,130152.0,800.0,4
243,38,78,1981,8,1,2867 Federal Drive,33.14,-95.95,18934.0,38609.0,27463.0,740.0,3
244,48,66,1971,9,1,96 11th Street,30.44,-87.18,17987.0,36671.0,39882.0,850.0,3
245,28,65,1991,10,1,654 Elm Drive,33.71,-84.53,19550.0,39860.0,112825.0,728.0,1
246,18,63,2002,2,0,345 George Avenue,38.06,-78.9,18531.0,37785.0,58187.0,748.0,1
247,50,68,1969,6,1,35 Hillside Drive,41.83,-87.68,0.0,2466.0,5521.0,711.0,2
248,68,60,1951,8,0,318 Spruce Boulevard,42.47,-70.96,18682.0,27358.0,13557.0,665.0,2
249,26,65,1994,1,0,118 12th Avenue,33.86,-84.68,25025.0,51024.0,181184.0,602.0,1
250,40,64,1979,5,0,1752 Martin Luther King Avenue,35.46,-97.51,49868.0,101679.0,307856.0,592.0,1
251,20,71,1999,6,1,982 Plum Boulevard,33.92,-118.2,13632.0,27801.0,0.0,754.0,1
252,61,69,1958,11,0,49 Bayview Lane,36.1,-115.02,18897.0,38536.0,72299.0,705.0,1
253,43,70,1976,5,0,5194 Grant Street,34.83,-82.37,24314.0,49577.0,142314.0,694.0,3
254,24,71,1995,11,1,9713 Fourth Lane,36.81,-119.75,17985.0,36672.0,49660.0,739.0,2
255,43,70,1976,11,1,857 Jefferson Avenue,29.7,-98.11,19325.0,39404.0,71859.0,723.0,5
256,61,60,1958,5,0,1861 Fourth Boulevard,42.61,-94.14,18849.0,18452.0,16827.0,741.0,6
257,39,69,1980,9,0,7549 Fourth Lane,41.87,-88.01,27741.0,56562.0,111495.0,712.0,4
258,90,74,1929,11,0,495 Ocean View Lane,34.43,-119.68,25249.0,48580.0,1785.0,687.0,7
259,41,67,1978,4,0,6946 Park Drive,42.78,-72.48,20338.0,41469.0,119423.0,659.0,1
260,52,61,1967,6,0,4222 Ocean View Drive,37.89,-85.96,15879.0,32378.0,65919.0,588.0,4
